Model,Price,Discount,Link
Xiaomi Redmi Note 10S 6/128GB (серый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-128gb-grey/
Xiaomi Redmi Note 10S 6/128GB (фиолетовый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-10s-6-128gb-purple/
Xiaomi 11 Lite 5G NE 8/256GB (белый),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-256gb-belyy/
Xiaomi 11 Lite 5G NE 8/256GB (розовый),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-256gb-rozovyy/
Xiaomi 11 Lite 5G NE 8/128GB (розовый),29990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-128gb-rozovyy/
Xiaomi 11 Lite 5G NE 6/128GB (черный),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-6-128gb-chernyy/
Xiaomi 11 Lite 5G NE 6/128GB (розовый),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-6-128gb-rozovyy/
Xiaomi 11 Lite 5G NE 6/128GB (синий),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-6-128gb-siniy/
Xiaomi 11 Lite 5G NE 6/128GB (белый),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-6-128gb-belyy/
Xiaomi 11 Lite 5G NE 8/128GB (белый),29990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-ne-5g-8-128gb-belyy/
Xiaomi 11 Lite 5G NE 8/256GB (зеленый),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-lite-5g-ne-8-256gb-zelenyy/
POCO M4 Pro 5G 6/128GB (желтый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-4-128gb-zheltyy/
POCO M4 Pro 5G 6/128GB (серый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-6-128gb-seryy/
POCO M4 Pro 5G 6/128GB (синий),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/m4-pro-5g-6-128gb-siniy/
POCO M4 Pro 6/128GB (желтый),22990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m4-pro-6-128gb-zheltyy/
POCO M4 Pro 6/128GB (синий),22990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/m4-pro-6-128gb-siniy/
POCO M4 Pro 8/256GB (желтый),25990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m4-pro-8-256gb-zheltyy/
Xiaomi 11T 8/128GB (белый),39990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11-t-8-128-gb-belyy/
Xiaomi Redmi Note 10 Pro 8/128GB (бронзовый),24990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-10-pro-6-128gb-bronze/
Xiaomi Redmi 9C NFC 3/64GB (синий),10490₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-3-64gb-blue/
POCO F3 8/256GB (белый),39990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f3-8-256gb-white/
POCO F3 8/256GB (синий),42990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f3-8-256gb-blue/
Xiaomi Redmi 9C NFC 2/32GB (синий),8990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-2-32gb-blue/
Xiaomi Redmi 9C NFC 4/128GB (синий),11990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-nfc-4-128gb-siniy/
Xiaomi Redmi 9C NFC 4/128GB (зеленый),11990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-nfc-4-128gb-zelenyy/
Xiaomi Redmi 9C NFC 4/128GB (фиолетовый),11990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-nfc-4-128gb-fioletovyy/
Xiaomi Redmi 9T 4/64GB (синий),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-64gb-blue/
Xiaomi Redmi 9T 4/128GB (зеленый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-128gb-green/
POCO X3 Pro 8/256GB (бронзовый),46990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-8-256gb-bronze/
Xiaomi Redmi Note 8 (2021) 4/64GB (белый),15990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-64gb-white/
Xiaomi Redmi Note 8 2021 4/64GB (черный),15990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-64gb-black/
Xiaomi Redmi 9T 4/64GB (серый),14990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-64gb-gray/
Xiaomi Redmi 9T 4/128GB (серый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-128gb-gray/
Xiaomi Redmi 9T 4/64GB (зеленый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-64gb-green/
POCO X4 Pro 5G 8/256GB (желтый),32990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-8-256gb-zheltyy/
POCO X4 Pro 5G 8/256GB (синий),32990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-8-256gb-siniy/
Xiaomi 11T Pro 8/128GB (серый),47990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11t-pro-8-128gb-seryy/
Xiaomi 11T Pro 8/128GB (белый),47990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11t-pro-8-128-gb-belyy/
Xiaomi 11T Pro 12/256GB (белый),53990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11t-pro-12-256-gb-belyy/
Xiaomi 11T Pro 12/256GB (синий),53990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11t-pro-12-256-gb-siniy/
Xiaomi 11T Pro 12/256GB (серый),53990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/11t-pro-12-256gb-seryy/
Xiaomi Redmi Note 10 Pro 8/128GB (серый),24990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-10-pro-6-128gb-grey/
Xiaomi Redmi Note 8 2021 4/128GB (синий),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-128gb-blue/
Xiaomi Redmi 9C NFC 2/32GB (оранжевый),8990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-2-32gb-orange/
Xiaomi Redmi 9C NFC 3/64GB (оранжевый),10490₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9c-3-64gb-orange/
Xiaomi Redmi 9T 4/64GB (оранжевый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-64gb-orange/
Xiaomi Redmi 9T 4/128GB (оранжевый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-128gb-orange/
POCO X3 Pro 6/128GB (бронзовый),23990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-6-128gb-bronze/
POCO X3 Pro 6/128GB (черный),23990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x3-pro-6-128gb-black/
POCO M3 4/64GB (черный),12990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-64gb-black/
POCO M3 4/64GB (синий),14990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-64gb-blue/
POCO M3 Pro 4/64GB (синий),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-4-64gb-blue/
Xiaomi Redmi 9T 4/128GB (синий),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-9t-4-128gb-blue/
Xiaomi Redmi Note 11S 6/64GB (белый),24990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-64gb-belyy/
Xiaomi Redmi Note 11S 6/128GB (белый),26990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-128gb-belyy/
Xiaomi Redmi Note 11S 6/128GB (синий),26990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-128gb-siniy/
Xiaomi Redmi Note 11S 6/128GB (серый),26990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-11s-6-128gb-seryy/
Xiaomi Redmi Note 11 Pro 5G 6/64GB (белый),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-6-64gb-belyy/
Xiaomi Redmi Note 11 Pro 5G 6/64GB (синий),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-6-64gb-siniy/
Xiaomi Redmi Note 11 Pro 5G 6/64GB (серый),31990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-6-64gb-seryy/
Xiaomi Redmi Note 11 Pro 5G 8/128GB (синий),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-8-128gb-siniy/
Xiaomi Redmi Note 11 Pro 5G 8/128GB (белый),33990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/xiaomi-redmi-note-11pro-5g-8-128gb-belyy/
POCO M3 Pro 4/64GB (желтый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-4-64gb-yellow/
POCO M3 Pro 6/128GB (синий),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-6-128gb-blue/
POCO M3 Pro 6/128GB (желтый),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-6-128gb-yellow/
Xiaomi Redmi Note 8 2021 4/128GB (белый),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-128gb-white/
Xiaomi Redmi Note 8 2021 4/64GB (синий),15990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-64gb-blue/
POCO M3 4/128GB (черный),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-128gb-black/
POCO M3 4/128GB (синий),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-128gb-blue/
POCO M3 4/64GB (желтый),14990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-64gb-yellow/
POCO M3 4/128GB (желтый),16990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-4-128gb-yellow/
POCO M3 Pro 6/128GB (черный),19990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-m3-pro-6-128gb-black/
Xiaomi Redmi Note 8 2021 4/128GB (черный),17990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-8-2021-4-128gb-black/
POCO X4 Pro 5G 6/128GB (синий),29990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-6-128gb-siniy/
POCO X4 Pro 5G 6/128GB (желтый),29990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-x4-pro-5g-6-128gb-zheltyy/
Xiaomi Redmi Note 9T 4/64GB (черный),20490₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-9t-4-64gb-black/
Xiaomi Redmi Note 9T 4/128GB (черный),21990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-9t-4-128gb-black/
Xiaomi Redmi Note 9T 4/128GB (фиолетовый),21990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/redmi-note-9t-4-128gb-violet/
POCO F3 8/256GB (черный),42990₽,No data discount,https://mi-shop.com/ru/catalog/smartphones/poco-f3-8-256gb-black/
